1,RW 2000A
2,RW 2000B
3,RW 2000B+
4,RW 2000C
5,RW 2000C+
6,RW 2000D
7,RW 2000D+
8,RW 2000A10M
9,RW 2000A25M
10,RW 2000A50M
11,RW 2000C+集成天线
12,RW 2000C集成天线（5版本）
13,RW 2000C集成天线（6版本）
14,RW 2000C外接天线（6版本）
15,RW 2000C集成天线（6版本）
16,RW 2000C外接天线（6版本）
17,RW 2000C+外接天线
18,RW 2000A 54M集成15dBi天线
19,RW 2000A 54M外接天线
20,RW 2000A 20M集成15dBi天线
21,RW 2000A 20M外接天线
22,RW 2000B+ EMB天线
23,RW 2000B EMB天线
24,RW 2000B+集成天线
25,RW 2000B集成天线
26,RW 2000C 集成天线（5版本）
27,RW 2000A 100M集成15dBi天线
28,RW 2000A 100M外接天线
29,RW 2000C+ 外接天线
30,RW 6000 外接天线
31,RW 6000 集成天线
32,RW 2000C集成天线
33,RW 2000D 750M集成23dBi天线
34,RW 2000D 750M外接双极化天线
35,RW 2000A 20M集成 23dBi天线
36,RW 2000A 54M集成23dBi天线
37,RW 2000A 100M集成23dBi天线
38,RW2000A 20M外接天线 宽温
39,RW-2050-D100
40,RW-2050-D200
41,RW-2049-0100
42,RW-2049-0200
43,RW-2050-B350+
44,RW-2050-B350
45,RW-2050-B150+
46,RW-2050-B150
47,RW-2050-AH10
48,RW-2050-A110
49,RW-2050-A210
50,RW-2050-AH25
51,RW-2050-A125
52,RW-2050-A225
53,RW-2050-AH50
54,RW-2050-A150
55,RW-2050-A250
56,RW  HBS 5025外接天线基站
57,RW  HBS 5050 外接天线基站
58,RW  HBS 5200 集成天线基站
59,RW  HBS 5200 外接天线基站
60,RW  HBS 5200 外接天线基站
61,RW  HSU  505 集成15dBi天线远端
62,RW  HSU  505 外接天线远端
63,RW HSU 510 集成23dBi天线远端
64,RW HSU 510 集成15dBi天线远端
65,RW HSU 510 外接天线远端
66,RW  HSU  510 外接+15dBi集成天线远端
67,RW  HSU 525 集成23dBi天线远端
68,RW  HSU 525 集成15dBi天线远端
69,RW  HSU 525  外接天线远端
70,RW  HSU  550 集成23dBi天线远端
71,RW  HSU  550 外接天线远端
72,RW-5025-0C50
73,RW-5050-0250
74,RW-5200-0150
75,RW-5200-0250
76,RW-5200-9254
77,RW-5505-0A50
78,RW-5505-0C50
79,RW-5510-0H50
80,RW-5510-0A50
81,RW-5510-0C50
82,RW-5510-0350
83,RW-5525-0H50
84,RW-5525-0A50
85,RW-5525-0C50
86,RW-5550-0150
87,RW-5550-0250
88,RADWIN5000HPMP
89,RW 5000JET
90,RW-5BG5-0649
91,RW-5BG5-0650
92,RW-5BG5-2650
93,RW-5BG5-6654
94,RW-5BG5-9649
95,RW-5BG5-9650
96,RW HMU 5700  外接天线移动远端
97,RW HMU 5700  小型外接天线移动远端
98,RW VMU  车载移动远端
99,RW HBS 5800  外接天线移动基站
100,RW-5700-0250
101,RW-5700-0C50
102,RW-5750-0V50
103,RW-5800-0250
104,B14集成天线  5.8G
105,B14非集成天线  5.8G
106,B28集成天线  5.8G
107,B28非集成天线  5.8G
108,B100集成天线  5.8G
109,B100非集成天线 5.8G
110,B300非集成天线  5.8G
111,BreezeNET BU/RB-B14-5.8 (ODU)
112,BreezeNET BU/RB-B14/D-5.8 (ODU)
113,BreezeNET BU/RB-B28-5.8(ODU)
114,BreezeNET BU/RB-B28/D-5.8 (ODU)
115,BreezeNET BU/RB-B100-5.8 (ODU)
116,BreezeNET BU/RB-B100/D-5.8 (ODU)
117,BreezeNET BU/RB-B300/D-5.8 (ODU)
118,B350集成天线 4.9~5.8G无线网桥
119,BU/RB-B350-5X-P6000
120,B100集成天线 5.2G
121,BreezeNET BU/RB-B100-5.2
122,VL集成天线基站 5.8G
123,VL非集成天线基站 5.8G
124,VL 6M集成天线远端 5.8G
125,VL 54M集成天线远端 5.8G
126,VL 54M非集成天线远端 5.8G
127,AU-A-SA-5.8-120-VL（ODU）
128,AU-D-SA-5.8-120-VL（ODU）
129,SU-A-5.8-6-BD-VL (ODU)
130,SU-A-5.8-54-BD-VL(ODU)
131,SU-E-5.8-54-BD-VL(ODU)
132,EZ非集成天线，5.8GHz
133,"VL非集成天线基站 4,9GHz"
134,VL 12M 集成天线远端，5.8GHz
135,VL 3M 集成天线远端 5.8GHz
136,VL 非集成基站 5.2GHz
137,VL 集成远端 5.2GHz
138,AU-EZ-5.8
139,AU-D-SA-4.9-360-VL
140,SU-A-MB-12-EZ
141,SU-A-MB-3-L-VL
142,AU-D-SA-5.2-120-VL
143,SU-A-5.2-54-BD-VL
